iter	Passed	Remaining
0	50	49989
1	50	25126
2	50	16828
3	50	12681
4	51	10192
5	51	8536
6	51	7352
7	52	6473
8	52	5794
9	56	5589
10	56	5113
11	57	4718
12	57	4383
13	58	4094
14	58	3843
15	59	3632
16	59	3433
17	59	3259
18	60	3102
19	60	2959
20	60	2828
21	60	2710
22	61	2601
23	61	2502
24	61	2411
25	62	2328
26	62	2249
27	62	2177
28	62	2109
29	63	2046
30	63	1986
31	63	1931
32	64	1878
33	64	1830
34	64	1784
35	65	1741
36	65	1700
37	65	1661
38	65	1624
39	66	1588
40	66	1555
41	66	1523
42	67	1492
43	67	1463
44	67	1435
45	67	1409
46	68	1384
47	68	1359
48	68	1336
49	69	1313
50	69	1292
51	69	1271
52	70	1252
53	70	1232
54	70	1214
55	70	1195
56	71	1178
57	71	1161
58	71	1145
59	72	1129
60	72	1113
61	72	1099
62	73	1086
63	73	1072
64	73	1059
65	73	1046
66	74	1033
67	74	1018
68	74	1007
69	74	995
70	75	984
71	75	973
72	75	962
73	76	952
74	76	941
75	76	930
76	76	920
77	77	910
78	77	901
79	77	891
80	77	884
81	78	875
82	78	867
83	78	858
84	78	849
85	79	841
86	79	832
87	79	824
88	79	816
89	80	809
90	80	801
91	80	794
92	80	787
93	81	781
94	81	774
95	81	767
96	81	761
97	82	755
98	82	749
99	82	743
100	82	737
101	82	730
102	83	724
103	83	719
104	83	713
105	83	708
106	84	702
107	84	697
108	84	692
109	84	687
110	85	682
111	85	677
112	85	672
113	85	668
114	86	663
115	86	659
116	86	654
117	86	650
118	87	645
119	87	640
120	87	636
121	87	632
122	87	627
123	88	623
124	88	619
125	88	615
126	88	611
127	89	606
128	89	603
129	89	599
130	89	596
131	90	593
132	90	590
133	90	586
134	91	583
135	91	580
136	91	576
137	91	573
138	92	569
139	92	567
140	92	564
141	92	561
142	93	557
143	93	554
144	93	551
145	93	548
146	94	545
147	94	542
148	94	539
149	95	538
150	95	537
151	96	536
152	96	534
153	97	533
154	97	532
155	98	531
156	98	530
157	99	529
158	99	527
159	100	526
160	100	524
161	100	522
162	101	519
163	101	516
164	101	514
165	101	512
166	102	509
167	102	507
168	102	504
169	102	502
170	103	500
171	103	497
172	103	495
173	103	493
174	104	490
175	104	488
176	104	486
177	104	484
178	105	481
179	105	479
180	105	476
181	105	474
182	105	472
183	106	470
184	106	468
185	106	466
186	106	464
187	106	462
188	107	460
189	107	458
190	107	456
191	107	454
192	108	452
193	108	450
194	108	448
195	108	446
196	109	444
197	109	442
198	109	441
199	109	439
200	110	437
201	110	435
202	110	434
203	110	432
204	111	430
205	111	428
206	113	433
207	113	431
208	113	429
209	113	427
210	114	426
211	114	424
212	114	423
213	114	421
214	115	419
215	115	418
216	115	416
217	115	415
218	115	413
219	116	412
220	116	410
221	116	408
222	116	407
223	117	406
224	117	404
225	117	403
226	118	401
227	118	400
228	118	398
229	118	397
230	118	396
231	119	394
232	119	393
233	119	392
234	119	390
235	120	389
236	120	387
237	120	386
238	120	385
239	121	384
240	121	382
241	121	381
242	122	380
243	122	378
244	122	377
245	122	376
246	123	375
247	168	509
248	168	508
249	168	506
250	169	504
251	169	502
252	169	500
253	169	498
254	170	496
255	170	495
256	170	493
257	170	491
258	171	489
259	171	487
260	171	485
261	171	484
262	172	482
263	172	480
264	172	478
265	172	476
266	173	475
267	173	473
268	173	471
269	173	469
270	174	468
271	174	466
272	174	464
273	174	462
274	174	461
275	175	459
276	175	458
277	175	456
278	175	454
279	176	453
280	176	451
281	176	450
282	176	448
283	177	446
284	177	445
285	177	443
286	177	442
287	178	440
288	178	439
289	178	437
290	178	436
291	179	434
292	179	432
293	179	432
294	180	430
295	180	429
296	180	427
297	180	426
298	181	424
299	181	423
300	181	421
301	181	420
302	182	418
303	182	417
304	182	415
305	182	414
306	183	413
307	183	412
308	183	410
309	183	409
310	184	407
311	184	406
312	184	405
313	184	403
314	185	402
315	185	401
316	185	399
317	185	398
318	185	397
319	186	395
320	186	394
321	186	393
322	186	391
323	187	390
324	187	389
325	187	388
326	188	386
327	188	385
328	188	384
329	188	383
330	188	381
331	189	380
332	189	379
333	189	378
334	189	377
335	190	375
336	190	374
337	190	373
338	191	372
339	191	371
340	191	370
341	192	369
342	192	368
343	192	367
344	192	365
345	192	364
346	193	363
347	193	362
348	193	361
349	193	360
350	194	359
351	194	357
352	194	356
353	194	355
354	195	354
355	195	353
356	195	352
357	195	351
358	196	350
359	196	349
360	196	348
361	197	347
362	197	346
363	197	345
364	197	344
365	198	343
366	198	342
367	198	340
368	198	339
369	199	338
370	199	337
371	199	336
372	199	335
373	199	334
374	200	333
375	200	332
376	200	331
377	200	330
378	201	329
379	201	328
380	201	327
381	201	326
382	202	325
383	202	324
384	202	323
385	202	322
386	202	321
387	203	320
388	203	319
389	203	318
390	203	317
391	204	316
392	204	315
393	204	314
394	204	313
395	205	312
396	205	311
397	205	310
398	205	309
399	205	308
400	206	308
401	206	307
402	206	306
403	206	305
404	207	304
405	207	303
406	207	302
407	207	301
408	208	300
409	208	299
410	208	298
411	208	297
412	208	297
413	209	296
414	209	295
415	209	294
416	209	293
417	209	293
418	210	292
419	210	291
420	210	290
421	211	289
422	211	288
423	211	288
424	211	287
425	212	286
426	212	285
427	212	284
428	212	284
429	213	283
430	213	282
431	213	281
432	213	280
433	214	279
434	214	279
435	214	278
436	214	277
437	215	276
438	215	275
439	215	275
440	215	274
441	216	273
442	216	272
443	216	271
444	216	271
445	217	270
446	217	269
447	217	268
448	217	268
449	218	267
450	218	266
451	218	265
452	218	264
453	219	264
454	219	263
455	219	262
456	219	261
457	220	261
458	220	260
459	220	259
460	220	258
461	221	258
462	221	257
463	221	256
464	221	255
465	222	255
466	222	254
467	222	253
468	222	252
469	223	252
470	223	251
471	223	250
472	223	250
473	224	249
474	224	248
475	224	247
476	224	247
477	225	246
478	225	245
479	225	244
480	225	244
481	226	243
482	226	242
483	226	242
484	226	241
485	227	240
486	227	240
487	227	239
488	227	238
489	228	238
490	228	237
491	228	236
492	229	236
493	229	235
494	229	235
495	230	234
496	230	233
497	230	232
498	230	232
499	231	231
500	231	230
501	231	230
502	231	229
503	232	228
504	232	228
505	232	227
506	232	226
507	233	226
508	233	225
509	233	224
510	233	224
511	233	223
512	234	222
513	234	222
514	234	221
515	235	220
516	235	220
517	235	219
518	236	219
519	236	218
520	236	218
521	237	217
522	237	216
523	237	216
524	237	215
525	238	214
526	238	214
527	238	213
528	238	213
529	239	212
530	239	211
531	239	211
532	239	210
533	239	209
534	240	209
535	240	208
536	240	207
537	240	207
538	241	206
539	241	205
540	241	205
541	242	204
542	242	204
543	242	203
544	242	203
545	243	202
546	243	201
547	243	201
548	243	200
549	243	199
550	244	199
551	244	198
552	244	198
553	244	197
554	245	196
555	245	196
556	245	195
557	245	195
558	246	194
559	246	193
560	246	193
561	246	192
562	246	192
563	247	191
564	247	190
565	247	190
566	247	189
567	248	189
568	248	188
569	248	187
570	248	187
571	249	186
572	249	186
573	249	185
574	249	185
575	250	184
576	250	183
577	250	183
578	250	182
579	251	182
580	251	181
581	251	181
582	252	180
583	252	180
584	252	179
585	252	178
586	253	178
587	253	177
588	253	177
589	253	176
590	254	176
591	254	175
592	254	175
593	255	174
594	255	174
595	255	173
596	256	173
597	256	172
598	256	172
599	256	171
600	257	171
601	257	170
602	258	170
603	258	170
604	260	170
605	260	169
606	261	169
607	261	168
608	262	168
609	263	168
610	263	168
611	264	167
612	265	167
613	265	167
614	265	166
615	266	166
616	267	166
617	268	166
618	268	165
619	269	165
620	269	164
621	302	183
622	303	183
623	304	183
624	304	183
625	305	182
626	305	182
627	308	183
628	309	182
629	309	182
630	310	181
631	311	181
632	311	181
633	312	180
634	313	180
635	313	179
636	314	179
637	315	179
638	315	178
639	316	178
640	316	177
641	317	177
642	317	176
643	318	176
644	319	175
645	319	175
646	320	175
647	320	174
648	321	174
