iter	Passed	Remaining
0	79	79702
1	80	40220
2	98	32595
3	99	24861
4	100	19976
5	101	16825
6	102	14495
7	107	13275
8	108	11916
9	108	10764
10	109	9823
11	109	9039
12	110	8391
13	111	7829
14	112	7385
15	113	6954
16	113	6572
17	114	6229
18	114	5924
19	115	5653
20	116	5426
21	117	5202
22	118	5026
23	119	4861
24	120	4713
25	121	4550
26	121	4395
27	122	4250
28	122	4117
29	123	4005
30	124	3897
31	127	3861
32	128	3757
33	128	3658
34	129	3565
35	130	3495
36	131	3418
37	147	3727
38	147	3645
39	148	3567
40	158	3695
41	158	3616
42	159	3543
43	159	3471
44	160	3401
45	160	3333
46	161	3271
47	163	3241
48	163	3182
49	164	3127
50	165	3080
51	166	3029
52	166	2979
53	167	2932
54	168	2890
55	168	2844
56	169	2800
57	169	2757
58	170	2716
59	170	2678
60	171	2641
61	172	2604
62	172	2567
63	173	2530
64	173	2495
65	174	2462
66	174	2430
67	175	2403
68	176	2375
69	176	2346
70	177	2317
71	177	2288
72	178	2261
73	179	2245
74	179	2219
75	180	2195
76	181	2173
77	182	2151
78	182	2127
79	183	2105
80	183	2081
81	183	2059
82	184	2035
83	184	2014
84	185	1992
85	185	1973
86	186	1954
87	186	1935
88	187	1917
89	188	1901
90	188	1883
91	189	1866
92	189	1849
93	190	1832
94	190	1816
95	191	1800
96	191	1785
97	192	1769
98	192	1755
99	193	1740
100	194	1728
101	197	1740
102	202	1765
103	203	1755
104	205	1753
105	206	1739
106	208	1740
107	210	1735
108	211	1730
109	212	1717
110	212	1705
111	222	1761
112	223	1754
113	223	1740
114	226	1739
115	226	1727
116	228	1728
117	230	1722
118	231	1710
119	231	1698
120	234	1706
121	235	1695
122	239	1705
123	245	1734
124	268	1879
125	269	1866
126	284	1952
127	295	2014
128	296	2005
129	297	1993
130	298	1978
131	298	1965
132	299	1952
133	316	2047
134	322	2067
135	334	2126
136	336	2120
137	338	2113
138	349	2166
139	350	2155
140	351	2143
141	353	2138
142	360	2159
143	373	2220
144	397	2341
145	415	2429
146	417	2421
147	417	2405
148	418	2389
149	431	2442
150	431	2426
151	432	2411
152	432	2395
153	433	2380
154	434	2366
155	434	2351
156	435	2336
157	436	2324
158	436	2309
159	437	2295
160	437	2280
161	438	2269
162	442	2269
163	444	2266
164	445	2253
165	445	2239
166	446	2225
167	446	2212
168	447	2200
169	449	2196
170	450	2185
171	467	2251
172	468	2238
173	468	2226
174	469	2214
175	470	2201
176	471	2190
177	471	2179
178	473	2170
179	474	2160
180	475	2153
181	482	2169
182	485	2167
183	496	2202
184	499	2202
185	509	2230
186	512	2227
187	513	2216
